service,cluster
ABTEST,3
AIRFLW,1
ANALAPI,3
APIGWY,3
ATLAS,4
AUTOML,3
AWS,2
AZURE,2
BILLING,3
CHURNP,0
CLVMDL,6
COHORT,3
COMPLT,5
CSSRVS,3
CSTSEG,6
CURRCNV,3
CUSTPRT,3
DATAHUB,4
DATARES,3
DBRCKS,2
DDSD,1
DEMAND,3
DRUID,1
DYNPRC,3
ECOMLP,3
ELASTIC,1
EXCS,7
EXPENSE,3
FEATSTR,5
FINPLAN,0
FINRPT,3
FRDETCT,6
GEOANL,0
GLOBAGG,3
GLOBCMP,3
HEALTH,3
HMFRP,1
HRANAL,3
INVOPT,0
JAPNDB,4
JIJOFS,1
JPCHRN,6
JPNXPP,4
JRNYANL,3
KAFKA,1
MCSCBT,7
MDLMON,3
MDLREG,4
MKTDB,3
MLOPS,3
MOBAPP,3
MULTILNG,3
NOTIFY,3
NXPCR,6
PANDRA,4
PAYPROC,3
POSIDN,4
PROJMG,3
QUALITY,3
RECV2,3
REDIS,4
RISKMG,3
RTDASH,0
SEARCH,3
SELENE,5
SENTANL,3
SLSDB,3
SNAPINT,3
SNWFLK,2
SPARK,4
SUPCHN,3
SUPTKT,3
TAXCALC,3
TEMPANL,3
TRNPIPE,0
VIBEFLX,3
WEBHOOK,3
WHLSLP,3
XCHATTR,3
YELLOWS,1
YGAMRKT,3
YGASTORE,1
YGCHRN,5
YGCLEB,3
YGCLV,5
YGSCPA,3
YGSCST,5
